On Old Website,Film Title,Year,Original Story,Story Author,Story Year,Region,Director,Studio,Genres,Survival Status,Access Status,Notes,Film URL,Research Status,Personal Copy,Copy Notes
TRUE,The Awakening of Helena Richie,1916,The Awakening of Helena Richie,Margaret Deland,1906,"Great Lakes Region",John W. Noble,Rolfe Photoplays,Drama,Extant,Restricted,Incomplete print at LOC,,,,FALSE,
TRUE,Gone with the Wind,1939,Gone with the Wind,Margaret Mitchell,1936,"Deep South",Victor Fleming,Selznick International,Romance,Extant,Available,,,,,FALSE,
FALSE,Linda,1929,Linda,Margaret Prescott Montague,1912,,Dorothy Davenport,Mrs. Wallace Reid Productions,Melodrama,Extant,Available,Lumber setting,https://archive.org/details/linda_1929,,,FALSE,
TRUE,The Sun Comes Up,1949,Mountain Prelude,Marjorie Kinnan Rawlings,1947,"Appalachia",Richard Thorpe,MGM,"Musical,Drama",Extant,Available,A Lassie film,http://www.youtube.com/watch?v=38H4WuTLza8,,,FALSE,
TRUE,The Yearling,1946,The Yearling,Marjorie Kinnan Rawlings,1938,"Central Florida",Clarence Brown,MGM,Drama,Extant,Available,,,Checked,,TRUE,
TRUE,Bright Road,1953,See How They Run,Mary Elizabeth Vroman,1951,Alabama,Gerald Mayer,MGM,Drama,Extant,Available,WOC author,,,,FALSE,
FALSE,My Friend Flicka,1943,My Friend Flicka,Mary O'Hara,1941,Wyoming,Harold Schuster,20th Century Fox,,Extant,Available,,,,,FALSE,
FALSE,Thunderhead: Son of Flicka,1945,Thunderhead,Mary O'Hara,1943,Wyoming,Louis King,20th Century Fox,,Extant,Available,,,,,FALSE,
FALSE,The Green Grass of Wyoming,1948,The Green Grass of Wyoming,Mary O'Hara,1946,Wyoming,Louis King,20th Century Fox,,Extant,Available,With Flicka movies,,,,FALSE,
TRUE,The Mountain Rat,1914,The Mountain Rat,Mary Rider,1914,"American West",James Kirkwood Sr.,Biograph,Western,Lost,Unavailable,Lost per LOC: https://en.wikisource.org/wiki/7200_Lost_U.S._Silent_Feature_Films_(1912-29)_(2021-02-04),,,,FALSE,
FALSE,Sunshine Alley,1917,,Mary Rider,,"Urban",John W. Noble,Goldwyn Pictures,,Lost,Unavailable,Lost per LOC,,,,FALSE,
FALSE,False Evidence,1919,Madelon of the Redwoods,Mary Wilkins Freeman,1896,"Northern California",Edwin Carewe,Metro Pictures,Drama,Unknown,Unavailable,Wikipedia stub,,,,FALSE,
TRUE,An Alabaster Box,1917,An Alabaster Box,Mary Wilkins Freeman,1917,"New England",Chester Withey,Vitagraph,Drama,Lost,Unavailable,Lost per LOC,,,,FALSE,
FALSE,Little Miss Smiles,1922,Little Aliens,Myra Kelly,1910,"New York City",John Ford,Fox Film Corporation,Drama,Lost,Unavailable,,,,,FALSE,
FALSE,The Vanishing Virginian,1942,The Vanishing Virginian,Rebecca Yancey Williams,1940,Virginia,Frank Borzage,MGM,Drama,Extant,Available,,,,,FALSE,
TRUE,The Primrose Ring,1917,The Primrose Ring,Ruth Sawyer,1915,,Robert Leonard,Jesse Lasky,Drama,Lost,Unavailable,Lost per LOC,,,,FALSE,
FALSE,Sparrows,1926,,Winnifred Dunn,,"Southern Swamplands",William Beaudine,United Artists,Drama,Extant,Available,,SPARROWS - 4K RESTORATION - Blu-ray+DVD Combo - VCI Entertainment,,,FALSE
